epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.016,1.52149,4.14001,2.12466,0.35269,0.32026,0.24896,0.12408,1.69432,3.30851,2.41866,0.000301857,0.000301857,0.000301857
2,250.376,1.53967,3.13349,2.12948,0.25528,0.36969,0.2285,0.12177,1.76823,2.91972,2.51141,0.000544976,0.000544976,0.000544976
3,370.028,1.5524,2.61455,2.133,0.32558,0.32895,0.27244,0.13652,1.7043,2.57145,2.37829,0.000728101,0.000728101,0.000728101
4,487.949,1.50412,2.31067,2.08993,0.45096,0.43663,0.424,0.2353,1.58957,2.06363,2.1599,0.000639027,0.000639027,0.000639027
5,606.012,1.43984,2.02097,2.00713,0.48445,0.44706,0.38072,0.21294,1.60704,2.01849,2.15388,0.000549036,0.000549036,0.000549036
6,724.224,1.36317,1.76515,1.93457,0.58149,0.56406,0.57554,0.33975,1.49728,1.57661,2.05519,0.000459045,0.000459045,0.000459045
7,841.94,1.30743,1.55462,1.86484,0.51347,0.63626,0.60543,0.37136,1.44292,1.55224,2.00014,0.000369054,0.000369054,0.000369054
8,959.96,1.23025,1.39164,1.79302,0.63133,0.60295,0.62577,0.39024,1.46063,1.50286,1.96602,0.000279063,0.000279063,0.000279063
9,1078.12,1.16753,1.235,1.73061,0.71397,0.62248,0.68808,0.43866,1.38296,1.30789,1.90532,0.000189072,0.000189072,0.000189072
10,1195.48,1.11021,1.12734,1.66797,0.76837,0.65058,0.73502,0.46966,1.36487,1.18666,1.87458,9.9081e-05,9.9081e-05,9.9081e-05
